id,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type
tt1302006,The Irishman,2019,18+,98/100,1,0,0,0,0
tt5074352,Dangal,2016,7+,97/100,1,0,0,0,0
tt11989890,David Attenborough: A Life on Our Planet,2020,7+,95/100,1,0,0,0,0
tt7131622,Lagaan: Once Upon a Time in India,2001,7+,94/100,1,0,0,0,0
tt6155172,Roma,2018,18+,94/100,1,0,0,0,0
tt3846674,To All the Boys I've Loved Before,2018,13+,94/100,1,0,0,0,0
tt11464826,The Social Dilemma,2020,13+,93/100,1,0,0,0,0
tt3967856,Okja,2017,13+,92/100,1,0,0,0,0
tt6412452,The Ballad of Buster Scruggs,2018,16+,92/100,1,0,0,0,0
tt1070874,The Trial of the Chicago 7,2020,18+,92/100,1,0,0,0,0
tt10324144,Article 15,2019,18+,92/100,1,0,0,0,0
tt0059399,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,18+,92/100,1,0,0,0,0
tt8526872,Dolemite Is My Name,2019,18+,92/100,1,0,0,0,0
tt2396589,Mudbound,2017,18+,91/100,1,0,0,0,0
tt0367110,Swades,2004,all,91/100,1,0,0,0,0
tt9412098,Fyre,2019,18+,91/100,1,0,0,0,0
tt11388580,Miss Americana,2020,18+,90/100,1,0,0,0,0
tt3455224,Virunga,2014,16+,90/100,1,0,0,0,0
tt11649338,Black Friday,2004,18+,90/100,1,0,0,0,0
tt4934950,Talvar,2015,7+,90/100,1,0,0,0,0
tt8093700,The King,2019,18+,90/100,1,0,0,0,0
tt8271714,John Mulaney: Kid Gorgeous at Radio City,2018,18+,89/100,1,0,0,0,0
tt6292852,I Am Mother,2019,13+,89/100,1,0,0,0,0
tt10915286,Tell Me Who I Am,2019,18+,89/100,1,0,0,0,0
tt0407887,The Departed,2006,18+,89/100,1,0,0,0,0
tt4908644,Winter on Fire: Ukraine's Fight for Freedom,2015,16+,89/100,1,0,0,0,0
tt0103064,Terminator 2: Judgment Day,1991,18+,89/100,1,0,0,0,0
tt9806192,I Lost My Body,2019,18+,89/100,1,0,0,0,0
tt1853728,Django Unchained,2012,18+,89/100,1,0,0,0,0
tt9683478,The Half of It,2020,13+,89/100,1,0,0,0,0
tt7533152,The Boy Who Harnessed the Wind,2019,7+,89/100,1,0,0,0,0
tt7395114,The Devil All the Time,2020,18+,89/100,1,0,0,0,0
tt2452386,The Fundamentals of Caring,2016,18+,89/100,1,0,0,0,0
tt11161474,Pieces of a Woman,2020,18+,88/100,1,0,0,0,0
tt3748172,Gerald's Game,2017,18+,88/100,1,0,0,0,0
tt5607714,On Body and Soul,2017,,88/100,1,0,0,0,0
tt1130884,Shutter Island,2010,18+,88/100,1,0,0,0,0
tt7374948,Always Be My Maybe,2019,13+,88/100,1,0,0,0,0
tt1675434,The Intouchables,2011,7+,88/100,1,0,0,0,0
tt10847306,Bill Burr: Paper Tiger,2019,18+,87/100,1,0,0,0,0
tt2377938,Special 26,2013,,87/100,1,0,0,0,0
tt8618654,Kiss the Ground,2020,18+,87/100,1,0,0,0,0
tt8923484,Crip Camp: A Disability Revolution,2020,18+,87/100,1,0,0,0,0
tt8936646,Extraction,2020,18+,87/100,1,0,0,0,0
tt2550300,No Direction Home: Bob Dylan,2005,all,87/100,1,0,0,0,0
tt0248126,Kabhi Khushi Kabhie Gham,2001,all,87/100,1,0,0,0,0
tt8508734,His House,2020,16+,87/100,1,0,0,0,0
tt7019942,Super Deluxe,2019,18+,87/100,1,0,0,0,0
tt1289403,The Guernsey Literary & Potato Peel Pie Society,2018,16+,87/100,1,0,0,0,0
tt3260524,A Secret Love,2020,18+,87/100,1,0,0,0,0
tt6116856,The Night Comes for Us,2018,18+,87/100,1,0,0,0,0
tt0118715,The Big Lebowski,1998,18+,87/100,1,0,0,0,0
tt7218518,Pad Man,2018,13+,87/100,1,0,0,0,0
tt9351980,American Factory,2019,13+,86/100,1,0,0,0,0
tt2737304,Bird Box,2018,18+,86/100,1,0,0,0,0
tt0253474,The Pianist,2002,18+,86/100,1,0,0,0,0
tt1187043,3 Idiots,2009,13+,86/100,1,0,0,0,0
tt4562518,The Distinguished Citizen,2016,,86/100,1,0,0,0,0
tt6193408,A Shaun the Sheep Movie: Farmageddon,2019,all,86/100,1,0,0,0,0
tt0066921,A Clockwork Orange,1971,18+,86/100,1,0,0,0,0
tt1536537,What Happened to Monday,2017,18+,86/100,1,0,0,0,0
tt5087554,Anthony Jeselnik: Thoughts and Prayers,2015,18+,86/100,1,0,0,0,0
tt6073176,The White Helmets,2016,16+,86/100,1,0,0,0,0
tt6739094,Invader ZIM: Enter the Florpus,2019,7+,86/100,1,0,0,0,0
tt6752992,Happy as Lazzaro,2018,13+,85/100,1,0,0,0,0
tt6333054,Chasing Coral,2017,,85/100,1,0,0,0,0
tt0347304,Kal Ho Naa Ho,2003,all,85/100,1,0,0,0,0
tt0457430,Pan's Labyrinth,2006,18+,85/100,1,0,0,0,0
tt5598216,Team Foxcatcher,2016,16+,85/100,1,0,0,0,0
tt5536736,The Meyerowitz Stories (New and Selected),2017,18+,85/100,1,0,0,0,0
tt0381061,Casino Royale,2006,13+,85/100,1,0,0,0,0
tt3460252,The Hateful Eight,2015,18+,85/100,1,0,0,0,0
tt1979320,Rush,2013,18+,84/100,1,0,0,0,0
tt1156398,Zombieland,2009,18+,84/100,1,0,0,0,0
tt8580274,Eurovision Song Contest: The Story of Fire Saga,2020,13+,84/100,1,0,0,0,0
tt4900716,Kapoor & Sons,2016,13+,84/100,1,0,0,0,0
tt7772580,The Perfection,2018,18+,84/100,1,0,0,0,0
tt10810424,Dave Chappelle: Sticks & Stones,2019,18+,84/100,1,0,0,0,0
