id,title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,poster
tt1302006,The Irishman,2019,18+,98/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMGUyM2ZiZmUtMWY0OC00NTQ4LThkOGUtNjY2NjkzMDJiMWMwXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_.jpg
tt5074352,Dangal,2016,7+,97/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMTQ4MzQzMzM2Nl5BMl5BanBnXkFtZTgwMTQ1NzU3MDI@._V1_.jpg
tt11989890,David Attenborough: A Life on Our Planet,2020,7+,95/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BY2FkMjE0ZDgtNWQxZS00NmZiLWEwMDYtMjE5M2RmOTZiODk5XkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_.jpg
tt7131622,Lagaan: Once Upon a Time in India,2001,7+,94/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BOTg4ZTNkZmUtMzNlZi00YmFjLTk1MmUtNWQwNTM0YjcyNTNkXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_.jpg
tt6155172,Roma,2018,18+,94/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMTU0OTc3ODk4Ml5BMl5BanBnXkFtZTgwMzM4NzI5NjM@._V1_.jpg
tt3846674,To All the Boys I've Loved Before,2018,13+,94/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMjQ3NjM5MTAzN15BMl5BanBnXkFtZTgwODQzMDAwNjM@._V1_.jpg
tt11464826,The Social Dilemma,2020,13+,93/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BN2I4ZTVlNTQtZmYyMC00ZWE1LTk0ZDAtZThlMGY4ZDU1ZGNkXkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_.jpg
tt3967856,Okja,2017,13+,92/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMjQxMTcxNDgxN15BMl5BanBnXkFtZTgwOTczNTIzMjI@._V1_.jpg
tt6412452,The Ballad of Buster Scruggs,2018,16+,92/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BYjRkYTI3M2EtZWQ4Ny00OTA2LWFmMTMtY2E4MTEyZmNjOTMxXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_.jpg
tt1070874,The Trial of the Chicago 7,2020,18+,92/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BZDEwNzA4OTUtODlmNi00OWQ3LTlmZWUtNDhkZDFkMzY5NDA3XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg
tt10324144,Article 15,2019,18+,92/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BZTI2NTFiMDMtZjQxNS00YjBkLWFhNWMtOTIyMzE5Yjc0ZTZiXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg
tt0059399,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,18+,92/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BZmEzNjliNjYtN2IzNC00ZmYwLTg0ZTUtZjEyOGEyYThkYzdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg
tt8526872,Dolemite Is My Name,2019,18+,92/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMzFiYWQxYzgtOThmYi00ZmIwLWFlZWMtMzk2NTI2YTYzMjkyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg
tt2396589,Mudbound,2017,18+,91/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BZTg3YTEzNjYtZTY2NS00YjNmLTlhNjUtZTI2M2E5NDI4M2NjXkEyXkFqcGdeQXVyMzI3MDEzMzM@._V1_.jpg
tt0367110,Swades,2004,all,91/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BODY2NGYxZTEtMzBiOS00Zjg2LWEyZjYtNjQ5Mjg1MzQ5N2FlXkEyXkFqcGdeQXVyNTE0MDc0NTM@._V1_.jpg
tt9412098,Fyre,2019,18+,91/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMjQ2NzE1MjYxMV5BMl5BanBnXkFtZTgwMjM3MDQxNzM@._V1_.jpg
tt11388580,Miss Americana,2020,18+,90/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BYzE5MTM2M2EtNzIzNy00M2NiLWE1N2EtNGFkZDAxMWEwOWU3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg
tt3455224,Virunga,2014,16+,90/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMzE1NTIyODM5N15BMl5BanBnXkFtZTgwOTExMzc2MjE@._V1_.jpg
tt11649338,Black Friday,2004,18+,90/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BY2IyYjI3NTItYjcyNC00ZjE2LTk1ZDMtMTc1YTI2MGIwMDQ2XkEyXkFqcGdeQXVyODY5NzkyMjA@._V1_.jpg
tt4934950,Talvar,2015,7+,90/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BMTYzODg0Mjc4M15BMl5BanBnXkFtZTgwNzY4Mzc3NjE@._V1_.jpg
tt8093700,The King,2019,18+,90/100,1,0,0,0,0,https://m.media-amazon.com/images/M/MV5BY2I4MDIwYWUtOWMxNC00ZTIzLWE3OGYtOWUyMmIwZGE2NjU4XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_.jpg
