id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,poster
tt2319580,Movie,The Grand Seduction,Don McKellar,"Brendan Gleeson, Taylor Kitsch, Gordon Pinsent",Canada,"March 30, 2021",2014,,113 min,"Comedy, Drama","A small fishing village must procure a local doctor to secure a lucrative business contract. When unlikely candidate and big city doctor Paul Lewis lands in their lap for a trial residence, the townsfolk rally together to charm him into staying. As the doctor's time in the village winds to a close, acting mayor Murray French has no choice but to pull out all the stops.",https://m.media-amazon.com/images/M/MV5BMjMyMjBiOTMtZDhhNi00YzVhLWE5MWUtZGExZGNlMGM3Y2RhXkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_.jpg
tt7071382,Movie,Take Care Good Night,Girish Joshi,"Mahesh Manjrekar, Abhay Mahajan, Sachin Khedekar",India,"March 30, 2021",2018,13+,110 min,"Drama, International",A Metro Family decides to fight a Cyber Criminal threatening their stability and pride.,https://m.media-amazon.com/images/M/MV5BMzAwNjRiOTctMjVkMi00NWNkLTk4YjItNjZmYTk4N2RhZWUyXkEyXkFqcGdeQXVyOTE4NDY3MDQ@._V1_.jpg
tt5451640,Movie,Secrets of Deception,Josh Webber,"Tom Sizemore, Lorenzo Lamas, Robert LaSardo, Richard Jones, Yancey Arias, Noel Gugliemi",United States,"March 30, 2021",2017,,74 min,"Action, Drama, Suspense",After a man discovers his wife is cheating on him with a neighborhood kid he goes down a furious path of self-destruction,https://m.media-amazon.com/images/M/MV5BNGZiYmM0ZjQtZmM5Mi00MWRmLWE0YzgtOWYwYmNiM2E5NDBjXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg
tt3021562,Movie,Pink: Staying True,Sonia Anderson,"Interviews with: Pink, Adele, Beyoncé, Britney Spears, Christina Aguilera, more!",United States,"March 30, 2021",2014,,69 min,Documentary,"Pink breaks the mold once again, bringing her career to a new level in 2013 with a world tour that entertains unlike ever before! Get inside access to ""the girl who got the party started"" with exclusive interviews and rare live performances.",https://m.media-amazon.com/images/M/MV5BNDkxNDAzMGItMWVlMS00MmNhLThlNGQtZDlmZjkwNTE4ZTE0XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_.jpg
tt0037084,Movie,Monster Maker,Giles Foster,"Harry Dean Stanton, Kieran O'Brien, George Costigan, Amanda Dickinson, Alison Steadman, Grant Bardsley, Bill Moody, Matthew Scurfield",United Kingdom,"March 30, 2021",1989,,45 min,"Drama, Fantasy","Teenage Matt Banting wants to work with a famous but eccentric creature/special effects man named Chancey Bellows. He gets more than he bargained for when one of the creatures, the giant dragon-like Ultragorgon, takes Matt under his wing. Matt is forced to confront his inner monsters while working out his issues with his father.",https://m.media-amazon.com/images/M/MV5BMWQ1YzIzMzktMWJhYy00MWM0LTkzODYtZTY4YjZmNzAyZDI3XkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_.jpg
tt0097763,Movie,Living With Dinosaurs,Paul Weiland,"Gregory Chisholm, Juliet Stevenson, Brian Henson, Michael Maloney",United Kingdom,"March 30, 2021",1989,,52 min,"Fantasy, Kids","The story unfolds in a an English seaside town, where Dom, an only child, faces the imminent arrival of a new sibling, and subsequently diminished attention from his mother. A stuffed toy dinosaur named Dog is Dom's only confidant – Dom relies on his friend heavily for support as he confronts his problems, accepts the changes in his life, and understands the love he has for his parents.",https://m.media-amazon.com/images/M/MV5BZjlkOGEyYjctNTFmMi00YTFjLTk0ZGUtYzQ2MDk4ZTM2OTJkXkEyXkFqcGdeQXVyNDUxNjc5NjY@._V1_.jpg
tt4026034,Movie,Hired Gun,Fran Strine,"Alice Cooper, Liberty DeVitto, Ray Parker Jr., David Foster, Jason Hook, Steve Vai, Phil X, Rudy Sarzo, Jay Graydon, Rob Zombie, Kenny Aronoff, Steve Lukather, Justin Derrico, Eva Gardner, John 5, Eric Singer, Derek St. Holmes, Paul Bushnell, Jason Newsted, Glen Sobel, Nita Strauss, Chris Johnson",United States,"March 30, 2021",2017,,98 min,"Documentary, Special Interest","They are the ""First Call, A-list"" musicians, just 20 feet from stardom, yet rarely receive credit for their work. The 'hired gun' community lives and breathes music, and for the first time, share their incredible stories detailing the highs and lows of touring life, the demands of session schedules, and the dedication required to play next to some of the world's most iconic musicians.",https://m.media-amazon.com/images/M/MV5BYzRjNTU1NjMtN2M3MS00Mjg4LWE1MWMtZWVjZDMzNDYwM2Q1XkEyXkFqcGdeQXVyMDc3ODUxNg@@._V1_.jpg
tt4366830,Movie,Grease Live!,"Thomas Kail, Alex Rudzinski","Julianne Hough, Aaron Tveit, Vanessa Hudgens, Keke Palmer, Carly Rae Jepson, Mario Lopez, Carlos PenaVega, Kether Donohue, Jordan Fisher, David Del Rio, Andrew Call, Wendell Pierce, Boyz II Men, Jessie J, Ana Gasteyer, Didi Conn",United States,"March 30, 2021",2016,,131 min,Comedy,"This honest, uncompromising comedy chronicles the war stories and sexual misadventures of a tight circle of lovers and friends fighting to get their acts together, for better or worse.",https://m.media-amazon.com/images/M/MV5BMTUxMDM3OTk0OF5BMl5BanBnXkFtZTgwOTk4MDk4NzE@._V1_.jpg
tt7108074,Movie,Global Meltdown,Daniel Gilboy,"Michael Paré, Leanne Khol Young, Patrick J. MacEachern",Canada,"March 30, 2021",2017,,87 min,"Action, Science Fiction, Suspense",A helicopter pilot and an environmental scientist lead a exodus of survivors in a search for a safe haven after a catastrophic tectonic event causes the crust of the earth to break apart.,https://m.media-amazon.com/images/M/MV5BYzhlN2Q5NzktYWM0NS00NjMzLWFkYmQtYjMwNzUwNzkxNGIxXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg
tt0109557,Movie,David's Mother,Robert Allan Ackerman,"Kirstie Alley, Sam Waterston, Stockard Channing",United States,"April 1, 2021",1994,,92 min,Drama,"Sally Goodson is a devoted mother to her autistic son David. Abandoned by her husband, Sally has managed to keep her son out of ""the System"", until a social worker comes along.",https://m.media-amazon.com/images/M/MV5BMTM0OTgwODAzM15BMl5BanBnXkFtZTcwNzYxNTkxMQ@@._V1_.jpg
tt4742274,Movie,Forest Fairies,Justin G. Dyck,"Emily Wilder, Adrian Cowan, Gary Mckenzie, Jeremy Ninaber, Brenda Somers, Brian Carleton, Lora Burke, Winny Clarke, Mercedes Morris, Rebecca Perry, Emily Agard, Graham Gauthier",Canada,"April 4, 2021",2016,,88 min,"Adventure, Kids",Amanda stumbles upon a hidden village of fairies in the forest. They help her thwart a scheming land developer's plan to trick her mother into selling the family inn.,https://m.media-amazon.com/images/M/MV5BZDdiNzMyYTktOWYzMC00ZDIzLWFiOTAtMGRmNmNlNDIzZjU0XkEyXkFqcGdeQXVyMTAwODE0NzYx._V1_.jpg
tt3120054,Movie,Take Care,Liz Tuccillo,"Leslie Bibb, Kevin Curtis, Nadia Dajani",United States,"April 10, 2021",2014,,93 min,Comedy,"When a car crash leaves Frannie immobilized, she is brushed off by everyone she can count on. With nowhere else to turn, Frannie reluctantly calls her ex, Devon, for help. It isn't long before old wounds emerge and are made worse when Devon's crazy new girlfriend shows up.",https://m.media-amazon.com/images/M/MV5BMTgwNjEzOTk1MF5BMl5BanBnXkFtZTgwMjk1NDUzMTE@._V1_.jpg
tt4266076,Movie,The Night Eats The World,Dominique Rocher,"Anders Danielsen Lie, Golshifteh Farahani, Denis Lavant, Sigrid Bouaziz, David Kammenos",France,"April 17, 2021",2018,,94 min,"Horror, Suspense","After waking up in an apartment the night after a raging party, Sam comes face to face with his new reality, an army of zombies have invaded the streets of Paris and he is the lone survivor. Petrified with fear, he barricades himself inside the building to survive. He wonders how long can he last in silence and solitude, and the answer comes when he learns that he's not all alone after all.",https://m.media-amazon.com/images/M/MV5BMTJlOTc3NGMtNjZkMi00NDAzLWE2YTctMDM1NzM3ZGYxMWJhXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_.jpg
