show_id,type,title,country,release_year,duration,listed_in,description
tt0032138,Movie,The Wizard of Oz,United States,1939,102 min,"fantasy, family","Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them."
tt0033467,Movie,Citizen Kane,United States,1941,119 min,drama,"Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event."
tt0034583,Movie,Casablanca,United States,1942,102 min,"drama, romance, war","In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications."
tt0038355,Movie,The Big Sleep,United States,1946,116 min,"thriller, crime","Private Investigator Philip Marlowe is hired by wealthy General Sternwood regarding a matter involving his youngest daughter Carmen. Before the complex case is over, Marlowe sees murder, blackmail, deception, and what might be love."
tt0033870,Movie,The Maltese Falcon,United States,1941,100 min,"thriller, romance, crime","A private detective takes on a case that involves him with three eccentric criminals, a beautiful liar, and their quest for a priceless statuette."
tt0031381,Movie,Gone with the Wind,United States,1939,233 min,"war, romance, drama, history","The spoiled daughter of a well-to-do plantation owner is forced to use every means at her disposal to claw her way out of poverty, following Maj. Gen. William Sherman's destructive ""March to the Sea,” during the American Civil War."
tt0040897,Movie,The Treasure of the Sierra Madre,United States,1948,126 min,"western, drama","Fred C. Dobbs and Bob Curtin, both down on their luck in Tampico, Mexico in 1925, meet up with a grizzled prospector named Howard and decide to join with him in search of gold in the wilds of central Mexico. Through enormous difficulties, they eventually succeed in finding gold, but bandits, the elements, and most especially greed threaten to turn their success into disaster."
tt0042208,Movie,The Asphalt Jungle,United States,1950,112 min,"drama, thriller, crime","Recently paroled from prison, legendary burglar ""Doc"" Riedenschneider, with funding from Alonzo Emmerich, a crooked lawyer, gathers a small group of veteran criminals together in the Midwest for a big jewel heist."
tt0032904,Movie,The Philadelphia Story,United States,1940,113 min,"romance, comedy","When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself. Remade as a musical in 1956 as High Society."
tt0042876,Movie,Rashomon,Japan,1950,88 min,"drama, crime","Brimming with action while incisively examining the nature of truth, ""Rashomon"" is perhaps the finest film ever to investigate the philosophy of justice. Through an ingenious use of camera and flashbacks, Kurosawa reveals the complexities of human nature as four people recount different versions of the story of a man's murder and the rape of his wife."
tt0040725,Movie,The Red Shoes,United Kingdom,1948,133 min,"romance, drama, music","In this classic drama, Vicky Page is an aspiring ballerina torn between her dedication to dance and her desire to love. While her imperious instructor, Boris Lermontov, urges to her to forget anything but ballet, Vicky begins to fall for the charming young composer Julian Craster. Eventually Vicky, under great emotional stress, must choose to pursue either her art or her romance, a decision that carries serious consequences."
tt0031971,Movie,Stagecoach,United States,1939,96 min,"western, drama","A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo, and learn something about each other in the process."
tt0068098,Movie,M,Germany,1931,117 min,"thriller, european, crime","In this classic German thriller, Hans Beckert, a serial killer who preys on children, becomes the focus of a massive Berlin police manhunt. Beckert's heinous crimes are so repellant and disruptive to city life that he is even targeted by others in the seedy underworld network. With both cops and criminals in pursuit, the murderer soon realizes that people are on his trail, sending him into a tense, panicked attempt to escape justice."
tt0193676,Movie,Freaks,United States,1932,62 min,"drama, horror","A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance."
tt0032553,Movie,The Great Dictator,United States,1940,125 min,"comedy, war, drama",Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
tt0026029,Movie,The 39 Steps,United Kingdom,1935,86 min,"thriller, crime","Richard Hanney has a rude awakening when a glamorous female spy falls into his bed -- with a knife in her back. Having a bit of trouble explaining it all to Scotland Yard, he heads for the hills of Scotland to try to clear his name by locating the spy ring known as ""The 39 Steps."""
tt0030341,Movie,The Lady Vanishes,United Kingdom,1938,96 min,thriller,"On a train headed for England a group of travelers is delayed by an avalanche. Holed up in a hotel in a fictional European country, young Iris befriends elderly Miss Froy. When the train resumes, Iris suffers a bout of unconsciousness and wakes to find the old woman has disappeared. The other passengers ominously deny Miss Froy ever existed, so Iris begins to investigate with another traveler and, as the pair sleuth, romantic sparks fly."
tt0040522,Movie,Bicycle Thieves,Italy,1948,88 min,"drama, european",A working man's livelihood is threatened when someone steals his bicycle.
tt0019254,Movie,The Passion of Joan of Arc,France,1928,110 min,"drama, european, history","A classic of the silent age, this film tells the story of the doomed but ultimately canonized 15th-century teenage warrior. On trial for claiming she'd spoken to God, Jeanne d'Arc is subjected to inhumane treatment and scare tactics at the hands of church court officials. Initially bullied into changing her story, Jeanne eventually opts for what she sees as the truth. Her punishment, a famously brutal execution, earns her perpetual martyrdom."
tt0021749,Movie,City Lights,United States,1931,87 min,"romance, drama, comedy","In this sound-era silent film, a tramp falls in love with a beautiful blind flower seller."
tt0013257,Movie,Häxan,Sweden,1922,105 min,"horror, european, documentation, fantasy, history","Grave robbing, torture, possessed nuns, and a satanic Sabbath: Benjamin Christensen's legendary film uses a series of dramatic vignettes to explore the scientific hypothesis that the witches of the Middle Ages suffered the same hysteria as turn-of-the-century psychiatric patients. But the film itself is far from serious-- instead it's a witches' brew of the scary, gross, and darkly humorous."
tt0360717,Movie,King Kong,United States,1933,104 min,"fantasy, horror, scifi","Adventurous filmmaker, Carl Denham, sets out to produce a motion picture unlike anything the world has seen before. Alongside his leading lady Ann Darrow and his first mate Jack Driscoll, they arrive on an island and discover a legendary creature said to be neither beast nor man. Denham captures the monster to displayed on Broadway as Kong, the eighth wonder of the world."
tt0039192,Movie,Black Narcissus,United Kingdom,1947,101 min,drama,"A group of Anglican nuns, led by Sister Clodagh, are sent to a mountain in the Himalayas. The climate in the region is hostile and the nuns are housed in an odd old palace. They work to establish a school and a hospital, but slowly their focus shifts. Sister Ruth falls for a government worker, Mr. Dean, and begins to question her vow of celibacy. As Sister Ruth obsesses over Mr. Dean, Sister Clodagh becomes immersed in her own memories of love."
tt0035446,Movie,To Be or Not to Be,United States,1942,99 min,"comedy, european, romance, war","During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy."
tt0119223,Movie,Great Expectations,United Kingdom,1946,118 min,"romance, drama","In this Dickens adaptation, orphan Pip discovers through lawyer Mr. Jaggers that a mysterious benefactor wishes to ensure that he becomes a gentleman. Reunited with his childhood patron, Miss Havisham, and his first love, the beautiful but emotionally cold Estella, he discovers that the elderly spinster has gone mad from having been left at the altar as a young woman, and has made her charge into a warped, unfeeling heartbreaker."
tt0027977,Movie,Modern Times,United States,1936,87 min,"drama, comedy, romance, family",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
tt0036112,Movie,The Life and Death of Colonel Blimp,United Kingdom,1943,163 min,"drama, romance, war","General Candy, who's overseeing an English squad in 1943, is a veteran leader who doesn't have the respect of the men he's training and is considered out-of-touch with what's needed to win the war. But it wasn't always this way. Flashing back to his early career in the Boer War and World War I, we see a dashing young officer whose life has been shaped by three different women, and by a lasting friendship with a German soldier."
tt0037558,Movie,Brief Encounter,United Kingdom,1945,86 min,"drama, romance","Returning home from a shopping trip to a nearby town, bored suburban housewife Laura Jesson is thrown by happenstance into an acquaintance with virtuous doctor Alec Harvey. Their casual friendship soon develops during their weekly visits into something more emotionally fulfilling than either expected, and they must wrestle with the potential havoc their deepening relationship would have on their lives and the lives of those they love."
tt0024034,Movie,42nd Street,United States,1933,89 min,"comedy, romance, drama","A producer puts on what may be his last Broadway show, and at the last moment a chorus girl has to replace the star."
tt0035140,Movie,"Now, Voyager",United States,1942,117 min,"drama, romance",A woman suffers a nervous breakdown and an oppressive mother before being freed by the love of a man she meets on a cruise.
tt0022286,Movie,The Public Enemy,United States,1931,84 min,"crime, drama","Two young Chicago hoodlums, Tom Powers and Matt Doyle, rise up from their poverty-stricken slum life to become petty thieves, bootleggers and cold-blooded killers. But with street notoriety and newfound wealth, the duo feels the heat from the cops and rival gangsters both. Despite his ruthless criminal reputation, Tom tries to remain connected to his family, however, gang warfare and the need for revenge eventually pull him away."
tt15822738,Movie,The Most Dangerous Game,United States,1932,63 min,"thriller, horror, action","When legendary hunter Bob Rainsford is shipwrecked on the perilous reefs surrounding a mysterious island, he finds himself the guest of the reclusive and eccentric Count Zaroff. While he is very gracious at first, Zaroff eventually forces Rainsford and two other shipwreck survivors, brother and sister Eve and Martin Towbridge, to participate in a sadistic game of cat and mouse in which they are the prey and he is the hunter."
tt0023649,Movie,Vampyr,"France, Germany",1932,74 min,"horror, fantasy, european","Traveler Allan Gray arrives in the village of Courtempierre and takes lodgings in a small inn. Gray has a great interest in the supernatural, particularly vampires. He's barely settled in when he feels a sinister force descending upon him. In the night an old man enters his room to tell him 'she must not die'. One of the old man's daughters, Leone, has been bitten by a vampire. In order to break the curse, Gray and Leone's sister Gisele must find the original vampire and drive a stake through her heart."
tt0041154,Movie,Late Spring,Japan,1949,110 min,drama,"Noriko is perfectly happy living at home with her widowed father, Shukichi, and has no plans to marry -- that is, until her aunt Masa convinces Shukichi that unless he marries off his 27-year-old daughter soon, she will likely remain alone for the rest of her life. When Noriko resists Masa's matchmaking, Shukichi is forced to deceive his daughter and sacrifice his own happiness to do what he believes is right."
tt0041090,Movie,Adam's Rib,United States,1949,100 min,"romance, drama, comedy","When a woman attempts to kill her uncaring husband, prosecutor Adam Bonner gets the case. Unfortunately for him his wife Amanda (who happens to be a lawyer too) decides to defend the woman in court. Amanda uses everything she can to win the case and Adam gets mad about it. As a result, their perfect marriage is disturbed by everyday quarrels."
tt0049470,Movie,The Man Who Knew Too Much,United Kingdom,1934,76 min,"drama, thriller, crime","While vacationing in St. Moritz, a British couple receive a clue to an imminent assassination attempt, only to learn that their young daughter has been kidnapped to keep them quiet."
tt0116477,Movie,Hamlet,United Kingdom,1948,155 min,drama,"Winner of four Academy Awards, including Best Picture and Best Actor, Sir Laurence Olivier’s Hamlet continues to be the most compelling version of Shakespeare’s beloved tragedy. Olivier is at his most inspired—both as director and as the melancholy Dane himself—as he breathes new life into the words of one of the world’s greatest dramatists."
tt0038890,Movie,"Rome, Open City",Italy,1945,103 min,"drama, european, war, thriller",A realistic portrayal of the underground resistance in Italy in 1945. The film has strong impacting imagery with its mix of fiction and reality that strengthened Italian Neo-realism and the film industry.
tt0032701,Movie,The Letter,United States,1940,95 min,"drama, romance, crime","After a woman shoots a man to death, a damning letter she wrote raises suspicions."
tt0056264,Movie,Mutiny on the Bounty,United States,1935,132 min,"drama, history, romance","Fletcher Christian successfully leads a revolt against the ruthless Captain Bligh on the HMS Bounty. However, Bligh returns one year later, hell bent on avenging his captors."
tt0034167,Movie,Sergeant York,United States,1941,134 min,"romance, drama, history, war",Alvin York a hillbilly sharpshooter transforms himself from ruffian to religious pacifist. He is then called to serve his country and despite deep religious and moral objections to fighting becomes one of the most celebrated American heroes of WWI.
tt0014429,Movie,Safety Last!,United States,1923,74 min,"action, romance, comedy, thriller","When a store clerk organizes a contest to climb the outside of a tall building, circumstances force him to make the perilous climb himself."
tt0015648,Movie,Battleship Potemkin,,1925,75 min,"drama, history, thriller, war","A dramatized account of a great Russian naval mutiny and a resultant public demonstration, showing support, which brought on a police massacre. The film had an incredible impact on the development of cinema and is a masterful example of montage editing."
tt0025164,Movie,The Gay Divorcee,United States,1934,107 min,"comedy, romance","Seeking a divorce from her absentee husband, Mimi Glossop travels to an English seaside resort. There she falls in love with dancer Guy Holden, whom she later mistakes for the corespondent her lawyer hired."
tt1742334,Movie,Sabotage,United Kingdom,1937,77 min,"drama, thriller, crime",Karl Anton Verloc and his wife own a small cinema in a quiet London suburb where they live seemingly happily. But Mrs. Verloc does not know that her husband has a secret that will affect their relationship and threaten her teenage brother's life.
tt0015864,Movie,The Gold Rush,United States,1925,89 min,"comedy, drama, western, family","A lone prospector ventures into Alaska looking for gold. He soon gets mixed up with some burly characters, falls in love with the beautiful Georgia, and tries to win her heart with his singular charm."
tt0087538,Movie,The Kid,United States,1921,53 min,"drama, comedy, family",A tramp cares for a boy after he's abandoned as a newborn by his mother. Later the mother has a change of heart and aches to be reunited with her son.
tt2771200,Movie,Beauty and the Beast,France,1946,96 min,"fantasy, european, romance, drama","The story of a gentle-hearted beast in love with a simple and beautiful girl. She is drawn to the repellent but strangely fascinating Beast, who tests her fidelity by giving her a key, telling her that if she doesn't return it to him by a specific time, he will die of grief. She is unable to return the key on time, but it is revealed that the Beast is the genuinely handsome one. A simple tale of tragic love that turns into a surreal vision of death, desire, and beauty."
tt0032484,Movie,Foreign Correspondent,United States,1940,120 min,"action, thriller, war, romance","The European war was only beginning to erupt across national borders. Johnny Jones, an American crime reporter dispatched by his New York publisher to put a fresh spin on the drowsy dispatches emanating from overseas, has a nose for a good story—which promptly leads him to the crime of fascism and Nazi Germany's designs on European conquest. In attempting to learn more about a seemingly noble peace effort, Jones walks into the middle of an assassination, uncovers a spy ring and—not entirely coincidentally—falls in love."
tt0017075,Movie,The Lodger: A Story of the London Fog,United Kingdom,1927,91 min,"drama, thriller, crime","London. A mysterious serial killer brutally murders young blond women by stalking them in the night fog. One foggy, sinister night, a young man who claims his name is Jonathan Drew arrives at the guest house run by the Bunting family and rents a room."
tt0000417,Movie,A Trip to the Moon,France,1902,15 min,"scifi, fantasy, european","Professor Barbenfouillis and five of his colleagues from the Academy of Astronomy travel to the Moon aboard a rocket propelled by a giant cannon. Once on the lunar surface, the bold explorers face the many perils hidden in the caves of the mysterious planet."
tt0033152,Movie,The Thief of Bagdad,United Kingdom,1940,106 min,"fantasy, family, romance","When Prince Ahmad is blinded and cast out of Bagdad by the nefarious Jaffar, he joins forces with the scrappy thief Abu to win back his royal place, as well as the heart of a beautiful princess."
tt0028691,Movie,Captains Courageous,United States,1937,115 min,"drama, family","Harvey, the arrogant and spoiled son of an indulgent absentee-father, falls overboard from a transatlantic steamship and is rescued by a fishing vessel on the Grand Banks. Harvey fails to persuade them to take him ashore, nor convince the crew of his wealth. The captain offers him a low-paid job, until they return to port, as part of the crew that turns him into a mature, considerate young man."
tt0023563,Movie,The Testament of Dr. Mabuse,Germany,1933,122 min,"crime, thriller, european, horror","After a detective is assaulted by thugs and placed in an asylum run by Professor Baum, he observes the professor's preoccupation with another patient, the criminal genius Dr. Mabuse the hypnotist. When Mabuse's notes are found to be connected with a rash of recent crimes, Commissioner Lohmann must determine how Mabuse is communicating with the criminals, despite conflicting reports on the doctor's whereabouts, and capture him for good."
tt0030287,Movie,Jezebel,United States,1938,103 min,"drama, romance","In 1850s Louisiana, the willfulness of a tempestuous Southern belle threatens to destroy all who care for her."
tt0039677,Movie,Odd Man Out,United Kingdom,1947,116 min,"drama, thriller, crime",Belfast police conduct a door-to-door manhunt for an IRA gunman wounded in a daring robbery.
tt0380599,Movie,Oliver Twist,United Kingdom,1948,116 min,drama,"When 9-year-old orphan Oliver Twist dares to ask his cruel taskmaster, Mr. Bumble, for a second serving of gruel, he's hired out as an apprentice. Escaping that dismal fate, young Oliver falls in with the street urchin known as the Artful Dodger and his criminal mentor, Fagin. When kindly Mr. Brownlow takes Oliver in, Fagin's evil henchman Bill Sikes plots to kidnap the boy."
tt0040636,Movie,The Naked City,United States,1948,96 min,"crime, thriller, drama","The Naked City portrays the police investigation that follows the murder of a young model. A veteran cop is placed in charge of the case and he sets about, with the help of other beat cops and detectives, finding the girl's killer."
tt3040964,Movie,Jungle Book,United States,1942,106 min,"fantasy, family, action","Rudyard Kipling's Jungle Book is given the full treatment in this lavish retelling filled with huge sets, exotic animals, a large cast and the incomparable Sabu, starring as Mowgli, the young orphan boy raised by wolves. Curious to reconnect with his human village, Mowgli returns only to find disappointment in the greed and treachery of man. Over time, Mowgli and the village members do grow to trust one another, but not before the village finds itself under siege. It's up to Mowgli and his jungle friends to save the day."
tt0097499,Movie,Henry V,United Kingdom,1944,137 min,"drama, history, war","In the midst of the Hundred Years' War, the young King Henry V of England embarks on the conquest of France in 1415."
tt0027884,Movie,Libeled Lady,United States,1936,98 min,"comedy, romance","When a major newspaper accuses wealthy socialite Connie Allenbury of being a home-wrecker, and she files a multi-million-dollar libel lawsuit, the publication's frazzled head editor, Warren Haggerty, must find a way to turn the tables on her. Soon Haggerty's harried fiancée, Gladys Benton, and his dashing friend Bill Chandler are in on a scheme that aims to discredit Connie, with amusing and unexpected results."
tt0044030,Movie,Show Boat,United States,1936,113 min,"comedy, drama, music, romance","Despite her mother's objections, the naive young daughter of a show boat captain is thrust into the limelight as the company's new leading lady."
tt10334148,Movie,Blithe Spirit,United Kingdom,1945,96 min,"comedy, fantasy","An English mystery novelist invites a medium to his home, so she may conduct a séance for a small gathering. The writer hopes to gather enough material for the book he's working on, as well as to expose the medium as a charlatan. However, proceedings take an unexpected turn, resulting in a chain of supernatural events being set into motion that wreak havoc on the man's present marriage."
tt0037120,Movie,National Velvet,United States,1945,123 min,"drama, family, sport","Mi Taylor is a young wanderer and opportunist who finds himself in the quiet English countryside home of the Brown family. The youngest daughter, Velvet, has a passion for horses and when she wins the spirited steed Pie in a town lottery, Mi is encouraged to train the horse."
tt0030637,Movie,Pygmalion,United Kingdom,1939,96 min,"comedy, drama, romance","When linguistics professor Henry Higgins boasts that he can pass off Cockney flower girl Eliza Doolittle as a princess with only six months' training, Colonel George Pickering takes him up on the bet. Eliza moves into Higgins's home and begins her rigorous training after the professor comes to a financial agreement with her dustman father, Alfred. But the plucky young woman is not the only one undergoing a transformation."
tt0034891,Movie,In Which We Serve,United Kingdom,1942,115 min,"drama, war","The story of the HMS Torrin, from it's construction to its sinking in the Mediterranean during action in World War II. The ship's first and only commanding officer is Captain E.V. Kinross, who trains his men not only to be loyal to him and the country, but—most importantly—to themselves."
tt0029546,Movie,Shall We Dance,United States,1937,109 min,"comedy, music, romance","Ballet star Petrov arranges to cross the Atlantic aboard the same ship as the dancer and musical star he's fallen for but barely knows. By the time the ocean liner reaches New York, a little white lie has churned through the rumour mill and turned into a hot gossip item—that the two celebrities are secretly married."
tt0041944,Movie,Take Me Out to the Ball Game,United States,1949,93 min,"romance, sport, comedy","The Wolves baseball team gets steamed when they find they've been inherited by one K.C. Higgins, a suspected ""fathead"" who intends to take an active interest in running the team. But K.C. turns outs to be a beautiful woman who really knows her baseball. Second baseman Dennis Ryan promptly falls in love. But his playboy roommate Eddie O'Brien has his own notions about how to treat the new lady owner and some unsavory gamblers have their own ideas about how to handle Eddie."
tt0414387,Movie,Pride and Prejudice,United States,1940,118 min,"romance, drama","Mr. and Mrs. Bennet have five unmarried daughters, and Mrs. Bennet is especially eager to find suitable husbands for them. When the rich single gentlemen Mr. Bingley and Mr. Darcy come to live nearby, the Bennets have high hopes. But pride, prejudice and misunderstandings all combine to complicate their relationships and to make happiness difficult."
tt0110527,Movie,Miracle on 34th Street,United States,1947,96 min,"comedy, drama, family","Kris Kringle, seemingly the embodiment of Santa Claus, is asked to portray the jolly old fellow at Macy's following his performance in the Thanksgiving Day parade. His portrayal is so complete that many begin to question if he truly is Santa Claus, while others question his sanity."
tt0041866,Movie,She Wore a Yellow Ribbon,United States,1949,103 min,western,"After Custer and the 7th Cavalry are wiped out by Indians, everyone expects the worst. Capt. Nathan Brittles is ordered out on patrol but he's also required to take along Abby Allshard, wife of the Fort's commanding officer, and her niece, the pretty Olivia Dandridge, who are being evacuated for their own safety. Brittles is only a few days away from retirement and Olivia has caught the eye of two of the young officers in the Company, Lt. Flint Cohill and 2nd Lt. Ross Pennell. She's taken to wearing a yellow ribbon in her hair, a sign that she has a beau in the Cavalry, but refuses to say for whom she is wearing it."
tt0071524,Movie,The Front Page,United States,1931,101 min,"comedy, drama, thriller, crime, romance","Hildy Johnson is an investigative reporter is looking for a bigger paycheck. When an accused murderer escapes from custody, Hildy sees an opportunity for the story of a lifetime. But when he finds the criminal, he learns that the man may not be guilty. With the help of his editor, Hildy attempts to hide the convict, uncover the conspiracy and write the scoop of his career."
tt4558376,Movie,Downhill,United Kingdom,1927,110 min,"drama, thriller","Roddy, first son of the rich Berwick family, is expelled from school when he takes the blame for his friend Tim's charge. His family sends him away and all of his friends leave him alone. Through many life choices that don't work out in his favor, Roddy begins to find his life slowly spiraling out of his control."
