id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,poster
tt15475200,Movie,Ricky Velez: Here's Everything,,,,"October 24, 2021",2021,TV-MA,,"Comedy, Stand Up",​Comedian Ricky Velez bares it all with his honest lens and down to earth perspective in his first-ever HBO stand-up special.,https://m.media-amazon.com/images/M/MV5BMjk0MzQwOGQtMzI3MC00MDQwLWIxNGUtNjBkMTFhZGNhYTFjXkEyXkFqcGdeQXVyNTYxMTM4MDk@._V1_.jpg
tt11628854,Movie,Silent Night,,,,"October 23, 2021",2020,,94 min,"Crime, Drama, Thriller","Mark, a low end South London hitman recently released from prison, tries to go straight for his daughter, but gets drawn back in by Alan, his former cellmate, to do one final job.",https://m.media-amazon.com/images/M/MV5BZDE1NWVjODItYTM0MS00MGJjLTkzMjctNTJjZjkwZDExYzNhXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg
tt6902332,Movie,The Marksman,,,,"October 23, 2021",2021,PG-13,108 min,"Action, Thriller",A hardened Arizona rancher tries to protect an 11-year-old migrant boy fleeing from a ruthless drug cartel.,https://m.media-amazon.com/images/M/MV5BMjE4YzM3ZTQtMGFlOS00YTA3LTk2NTEtZTczZjhhNmE3YzRhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg
tt11881160,Movie,Gaia,,,,"October 22, 2021",2021,R,97 min,Horror,A forest ranger and two survivalists with a cultish devotion to the forest face the threat of an unrelenting wilderness when a strange being attacks one night.,https://m.media-amazon.com/images/M/MV5BM2Y2YjYwYzctYTc2Mi00N2YxLWIwMjMtMzdhZGJlYWRhNzRhXkEyXkFqcGdeQXVyNDgyNzAxMzY@._V1_.jpg
tt9373688,Movie,Settlers,,,,"October 22, 2021",2021,,104 min,"Science Fiction, Thriller",Mankind's earliest settlers on the Martian frontier do what they must to survive the cosmic elements and each other in this science-fiction thrill ride.,https://m.media-amazon.com/images/M/MV5BNjAzYjM1OTUtYjNlZC00MzI1LTk3MGItMzg3MzA1NmJmMzVjXkEyXkFqcGdeQXVyMTE1MzI2NzIz._V1_.jpg
tt11320192,Movie,The Evil Next Door,,,,"October 21, 2021",2020,,88 min,"Horror, Thriller","New to her role as a stepmom, a young woman moves into a duplex with her partner and his five-year-old son Lucas. Soon, strange noises start coming from the empty house adjoining theirs. Also, who is Lucas’s new friend?",https://m.media-amazon.com/images/M/MV5BNjVjYjg1YjctZWIxOS00ZDAyLTg5NTctZWEwZWJmZGI1NjIzXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg
tt9883996,Movie,Dream Horse,,,,"October 18, 2021",2020,PG,113 min,"Comedy, Drama",The film tells the inspiring true story of a small town bartender who decides to breed a racehorse. The community chips in their small earnings and the investment pays off as he becomes a beacon of hope in their struggling town.,https://m.media-amazon.com/images/M/MV5BOTQ5MmRlYWItZmNiYS00ZmE5LTg4NjAtZjZjZjNjYTRhMDY1XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg
tt15975098,Movie,Out of the Shadows: The Man Behind the Steele Dossier,,,,"October 18, 2021",2021,,,News,George Stephanopoulos sits down with former MI6 spy Christopher Steele for a worldwide exclusive interview; marking his first interview since the publication of the series of intelligence reports now known as the Steele dossier.,https://m.media-amazon.com/images/M/MV5BYzU1YzdhNDUtMjQ4ZC00ZTZkLThkNWItNzNjOGY1OWVmNDdmXkEyXkFqcGdeQXVyNDQxOTAyNA@@._V1_.jpg
,Movie,Showtime Championship Boxing: Lopez vs. Salido (R),,,,"October 16, 2021",2011,,,Sports,Juan Manuel Lopez vs. Orlando Salido for the WBO Featherweight title.,
tt13122232,Movie,Cheer Camp Killer,,,,"October 15, 2021",2020,TV-14,87 min,Thriller,"Camp queen bee Victoria does not take kindly to a newcomer like Sophia taking her spotlight, so she launches a dangerous plan to get her rival out of the way.",https://m.media-amazon.com/images/M/MV5BNGVmZjBjZTUtYzUwMS00YmMzLTg1YTQtMDYxZTY2MzAyMDE3XkEyXkFqcGdeQXVyMTU0NjY0NDg@._V1_.jpg
tt4185370,Movie,Sleepwalker,,,,"October 15, 2021",2017,TV-14,88 min,Thriller,A graduate student plagued by bouts of sleepwalking begins to have trouble differentiating between her dreams and reality.,https://m.media-amazon.com/images/M/MV5BM2FmMjJmYzgtYTRmOS00ZmJmLTk5MzctYjgzNDA5MzA5ZGI5XkEyXkFqcGdeQXVyNDc0NjE5NzE@._V1_.jpg
tt10329614,Movie,Censor,,,,"October 14, 2021",2021,,84 min,Horror,A film censor is assigned to review a disturbing film that recalls her childhood memories. She begins to unravel how this eerie work might be tied to the long-ago disappearance of her sister.,https://m.media-amazon.com/images/M/MV5BNzNlZjUwMjItNDc3Ny00NWFhLWEwZDItMTNjMThhZGFiNjYyXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg
tt12528166,Movie,Out of Death,,,,"October 14, 2021",2021,NOT RATED,95 min,Thriller,"When Shannon (Jaime King) sets out on a hike to spread her deceased father’s ashes, she witnesses a corrupt sheriff’s deputy, Billie (Lala Kent) brutally murder a drug dealer. Having seen Shannon witness the murder, Billie and her cohorts set off to permanently silence Shannon. On the run from the dirty cops, Shannon stumbles into and recruits the help of a retired cop, Jack Harris (Bruce Willis).",https://m.media-amazon.com/images/M/MV5BYzFhZjM1NzktOGUxZi00YzEzLWE5NjUtMDQ2N2M0YThiZDY0XkEyXkFqcGdeQXVyMTIyMTU4Nzcz._V1_.jpg
tt3104084,Movie,BELLATOR MMA: Kongo vs. Johnson 2,,,,"October 13, 2021",2020,,,Sports,Cheick Kongo vs. Tim Johnson battle in a historic classic from October 2020,https://m.media-amazon.com/images/M/MV5BMDhlOGUwYTYtMzdhZC00MTM4LWI1MjItYzE2N2I1Y2IzM2JlXkEyXkFqcGdeQXVyNzU5MjczMzE@._V1_.jpg
