imdbID,tmdbID,imdbRating,tmdbRating,genres,countries,year,runtime,title,overview,originalLanguage,posterURLs.original,streamingInfo.disney.us.added,streamingInfo.disney.us.leaving,streamingInfo.paramount.us.added,streamingInfo.paramount.us.leaving,streamingInfo.showtime.us.added,streamingInfo.showtime.us.leaving,streamingInfo.hulu.us.added,streamingInfo.hulu.us.leaving,streamingInfo.netflix.us.added,streamingInfo.netflix.us.leaving,streamingInfo.prime.us.added,streamingInfo.prime.us.leaving,streamingInfo.hbo.us.added,streamingInfo.hbo.us.leaving,streamingInfo.zee5.us.added,streamingInfo.zee5.us.leaving,streamingInfo.peacock.us.added,streamingInfo.peacock.us.leaving,streamingInfo.starz.us.added,streamingInfo.starz.us.leaving,streamingInfo.mubi.us.added,streamingInfo.mubi.us.leaving,streamingInfo.apple.us.added,streamingInfo.apple.us.leaving
tt0095327,12477,85,84,"Animation, Drama, War",['JP'],1988,89,Grave of the Fireflies,"In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.",ja,https://image.tmdb.org/t/p/original/qG3RYlIVpTYclR9TYIsy8p7m7AT.jpg,,,,,,,,,,,,,,,,,,,,,,,,
tt0088846,68,79,76,Science Fiction,"['GB', 'US']",1985,143,Brazil,"Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.",en,https://image.tmdb.org/t/p/original/8Pf3pbzu9pyONdpmdMtMrASr0am.jpg,,,,,,,,,,,,,,,,,,,,,,,,
tt1605783,59436,77,75,"Comedy, Fantasy, Romance","['ES', 'US']",2011,94,Midnight in Paris,A romantic comedy about a family traveling to the French capital for business. The party includes a young engaged couple forced to confront the illusion that a life different from their own is better.,en,https://image.tmdb.org/t/p/original/4wBG5kbfagTQclETblPRRGihk0I.jpg,,,,,,,,,,,,,,,,,,,,,,,,
tt3315342,263115,81,78,"Action, Drama, Science Fiction",['US'],2017,137,Logan,"In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.",en,https://image.tmdb.org/t/p/original/fnbjcRDYn6YviCcePDnGdyAkYsB.jpg,1658592406.0,0.0,,,,,,,,,,,,,,,,,,,,,,
tt0058461,391,79,78,"Action, Western","['DE', 'ES', 'IT']",1964,99,A Fistful of Dollars,"The Man With No Name enters the Mexican village of San Miguel in the midst of a power struggle among the three Rojo brothers and sheriff John Baxter. When a regiment of Mexican soldiers bearing gold intended to pay for new weapons is waylaid by the Rojo brothers, the stranger inserts himself into the middle of the long-simmering battle, selling false information to both sides for his own benefit.",it,https://image.tmdb.org/t/p/original/lBwOEpwVeUAmrmglcstnaGcJq3Y.jpg,,,,,,,,,,,,,,,,,,,,,,,,
tt0056869,571,76,75,"Horror, Mystery",['US'],1963,119,The Birds,"Chic socialite Melanie Daniels enjoys a passing flirtation with an eligible attorney in a San Francisco pet shop and, on an impulse, follows him to his hometown bearing a gift of lovebirds. But upon her arrival, the bird population runs amok. Suddenly, the townsfolk face a massive avian onslaught, with the feathered fiends inexplicably attacking people all over Bodega Bay.",en,https://image.tmdb.org/t/p/original/z0iYrJ6GsAMP3abOha7uGMuc5kZ.jpg,,,,,,,,,,,,,,,,,,,,,,,,
tt0023969,3063,78,73,"Comedy, 4",['US'],1933,69,Duck Soup,Rufus T. Firefly is named president/dictator of bankrupt Freedonia and declares war on neighboring Sylvania over the love of wealthy Mrs. Teasdale.,en,https://image.tmdb.org/t/p/original/31t63plEGKHhYuuCpC9bFWO9SBS.jpg,,,,,,,,,,,,,,,,,,,,,,,,
tt0107207,7984,81,79,"1, Crime, Drama","['GB', 'IE']",1993,133,In the Name of the Father,"A small time thief from Belfast, Gerry Conlon, is falsely implicated in the IRA bombing of a pub that kills several people while he is in London. He and his four friends are coerced by British police into confessing their guilt. Gerry's father and other relatives in London are also implicated in the crime. He spends fifteen years in prison with his father trying to prove his innocence.",en,https://image.tmdb.org/t/p/original/3NcIkKxaO2SmRVsG1v50XhtmL0f.jpg,,,,,,,,,,,,,,,,,,,,,,,,
tt0091763,792,81,77,"Drama, War","['US', 'GB']",1986,120,Platoon,"As a young and naive recruit in Vietnam, Chris Taylor faces a moral crisis when confronted with the horrors of war and the duality of man.",en,https://image.tmdb.org/t/p/original/m3mmFkPQKvPZq5exmh0bDuXlD9T.jpg,,,1667600788.0,1672549200.0,1667341126.0,1672531140.0,,,,,,,,,,,,,,,,,,
tt0118799,637,86,85,"Comedy, Drama",['IT'],1997,116,Life Is Beautiful,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,it,https://image.tmdb.org/t/p/original/mfnkSeeVOBVheuyn2lo4tfmOPQb.jpg,,,1662823391.0,1678338000.0,,,,,,,,,,,,,,,,,,,,
