id,name,streaming_services
tt0095327,Grave of the Fireflies,iTunes
tt0088846,Brazil,"iTunes, Google Play, Amazon Instant Video"
tt1605783,Midnight in Paris,"Google Play, Amazon Instant Video, iTunes, Netflix"
tt3315342,Logan,"iTunes, Amazon Instant Video, Disney+, Google Play"
tt0058461,A Fistful of Dollars,"iTunes, Google Play, Amazon Instant Video"
tt0056869,The Birds,"iTunes, Google Play, Amazon Instant Video"
tt0023969,Duck Soup,"Google Play, iTunes, Amazon Instant Video"
tt0107207,In the Name of the Father,"Amazon Instant Video, iTunes, Google Play"
tt0091763,Platoon,"Amazon Prime Video, Google Play, iTunes, Amazon Instant Video"
tt0118799,Life Is Beautiful,"iTunes, Google Play, Amazon Instant Video"
tt0119472,,
tt0022913,Freaks,"Google Play, iTunes, Amazon Instant Video"
tt0118849,Children of Heaven,"Amazon Instant Video, Google Play, iTunes"
tt10370710,The Worst Person in the World,"Amazon Instant Video, Google Play, iTunes"
tt0180093,Requiem for a Dream,"Google Play, Amazon Instant Video, iTunes"
tt0808417,Persepolis,"Amazon Instant Video, Google Play, iTunes"
tt3322420,Queen,"Google Play, Amazon Instant Video, iTunes, Netflix"
tt1408101,Star Trek into Darkness,"Google Play, Amazon Prime Video, Amazon Instant Video, iTunes"
tt0190590,"O Brother, Where Art Thou?","iTunes, Google Play, Amazon Instant Video"
tt15097216,Jai Bhim,Amazon Prime Video
tt1853728,Django Unchained,"iTunes, Google Play, Amazon Instant Video"
tt0265086,Black Hawk Down,"iTunes, Google Play, Amazon Instant Video"
tt0053779,,
tt0018455,Sunrise: A Song of Two Humans,"Google Play, iTunes, Amazon Instant Video"
tt0468569,The Dark Knight,"Google Play, iTunes, Amazon Instant Video, Netflix"
tt1093370,Jab We Met,"Netflix, Google Play"
tt0044706,High Noon,"iTunes, Google Play, Amazon Instant Video"
tt0790636,Dallas Buyers Club,"Amazon Instant Video, Google Play, iTunes"
tt0037382,To Have and Have Not,"Amazon Instant Video, Google Play, iTunes"
tt7838252,K.G.F,Amazon Prime Video
tt1235166,A Prophet,"Google Play, Amazon Instant Video, iTunes"
tt11032374,Demon Slayer the Movie: Mugen Train,"Amazon Instant Video, Google Play, iTunes"
tt7979580,The Mitchells vs the Machines,"iTunes, Google Play, Amazon Instant Video, Netflix"
tt0039689,Out of the Past,"Amazon Instant Video, Google Play, iTunes"
tt0092067,Castle in the Sky,"Amazon Instant Video, Google Play, iTunes, Netflix"
tt0088939,,
tt0061809,In Cold Blood,"Amazon Instant Video, iTunes, Google Play"
tt0032138,The Wizard of Oz,"Google Play, Amazon Instant Video, iTunes"
tt8291224,,
tt0094625,,
tt0425210,Lucky Number Slevin,"Amazon Instant Video, Google Play, iTunes, Amazon Prime Video"
tt0389557,Black Book,"Amazon Instant Video, Google Play, iTunes"
tt0045793,From Here to Eternity,"iTunes, Google Play, Amazon Instant Video"
tt0125659,Open Your Eyes,"Amazon Instant Video, Google Play, iTunes"
tt1856101,Blade Runner 2049,"Netflix, Google Play, Amazon Instant Video, iTunes"
tt1877830,The Batman,"Amazon Instant Video, Google Play, iTunes"
tt4846340,Hidden Figures,"iTunes, Google Play, Amazon Instant Video, Disney+"
tt0096874,Back to the Future Part II,"iTunes, Google Play, Amazon Instant Video"
tt10698680,K.G.F: Chapter 2,Amazon Prime Video
tt0248845,Hedwig and the Angry Inch,"Amazon Instant Video, Google Play, iTunes"
tt0104684,,
tt4468740,Paddington 2,"Amazon Instant Video, Google Play, iTunes"
tt0117381,Primal Fear,"Amazon Instant Video, Amazon Prime Video, iTunes, Google Play"
tt2265171,The Raid 2,"iTunes, Google Play, Amazon Instant Video"
tt0056687,What Ever Happened to Baby Jane?,"Amazon Instant Video, Google Play, iTunes"
tt0120363,Toy Story 2,"Disney+, Amazon Instant Video, Google Play, iTunes"
tt0062622,2001: A Space Odyssey,"Amazon Instant Video, iTunes, Google Play"
tt0099685,Goodfellas,"Amazon Instant Video, Google Play, iTunes, Netflix"
tt0358273,Walk the Line,"iTunes, Google Play, Amazon Instant Video"
tt0110413,Leon,"iTunes, Google Play, Amazon Prime Video, Amazon Instant Video, Netflix"
tt0250258,,
tt0056111,Ivan's Childhood,"Google Play, iTunes, Amazon Instant Video"
tt0253474,The Pianist,"Amazon Instant Video, Google Play, iTunes"
tt0031885,The Rules of the Game,"Amazon Instant Video, Google Play, iTunes"
tt0038348,Beauty and the Beast,"Amazon Instant Video, iTunes"
tt1562872,Zindagi Na Milegi Dobara,"Netflix, iTunes"
tt0053221,Rio Bravo,"iTunes, Google Play, Amazon Instant Video"
tt8267604,Capernaum,"Google Play, Amazon Instant Video, iTunes"
tt2317337,Vicky Donor,"Google Play, iTunes"
tt0105236,Reservoir Dogs,"iTunes, Google Play, Amazon Instant Video"
tt0169547,American Beauty,"Google Play, Netflix, iTunes, Amazon Prime Video, Amazon Instant Video"
tt1270798,X-Men: First Class,"iTunes, Disney+, Amazon Instant Video, Google Play"
tt0120601,Being John Malkovich,"iTunes, Google Play, Amazon Instant Video"
tt0085794,The King of Comedy,"Amazon Instant Video, iTunes"
tt0289879,The Butterfly Effect,"Amazon Instant Video, Google Play, iTunes"
tt0040724,Red River,"iTunes, Google Play, Amazon Instant Video"
tt0118845,,
tt5074352,Dangal,Netflix
tt1074638,Skyfall,"iTunes, Google Play, Amazon Prime Video, Amazon Instant Video, Netflix"
tt1590089,,
tt0056218,The Manchurian Candidate,"Amazon Instant Video, iTunes"
tt0061184,Who's Afraid of Virginia Woolf?,"iTunes, Google Play, Amazon Instant Video"
tt0347149,Howl's Moving Castle,"Google Play, Netflix, iTunes, Amazon Instant Video"
tt6155172,Roma,Netflix
tt9179430,,
tt0120586,American History X,"iTunes, Google Play, Amazon Instant Video"
tt8239946,Tumbbad,Amazon Prime Video
tt0081283,Ordinary People,"iTunes, Google Play, Amazon Instant Video"
tt2103281,Dawn of the Planet of the Apes,"iTunes, Google Play, Amazon Instant Video"
tt0167261,The Lord of the Rings: The Two Towers,"iTunes, Google Play, Amazon Prime Video, Amazon Instant Video"
tt0077416,The Deer Hunter,"iTunes, Google Play, Amazon Instant Video"
tt3896198,Guardians of the Galaxy: Vol. 2,"Amazon Instant Video, iTunes, Google Play, Disney+"
tt0082694,Mad Max 2,"Amazon Instant Video, iTunes, Google Play"
tt0060107,Andrei Rublev,"iTunes, Amazon Instant Video"
tt0088763,Back to the Future,"Amazon Instant Video, Google Play, iTunes"
tt5571734,Pink,"Google Play, iTunes, Amazon Instant Video"
